ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 1,,,00 00 04,00h00m04s,63 04.3,26 55.7,26°55.7',"faint, small, round, between 11th and 14th magnitude stars"
NGC 2,,,00 00 06,00h00m06s,63 06.0,26 54,26°54',"very faint, small, south of GC 1"
NGC 3,,,00 00 06,00h00m06s,82 28,7 32,7°32',"faint, very small, round, almost stellar"
NGC 4,,,00 00 16,00h00m16s,82 23,7 37,7°37',extremely faint
NGC 5,,,00 00 37,00h00m37s,55 25.0,34 35,34°35',"very faint, very small, nucleus equivalent to a 13th or 14th magnitude star"
NGC 6,,,00 01 05,00h01m05s,58 15.6,31 44.4,31°44.4',"extremely faint, very small, considerably extended"
NGC 7,,,00 01 14,00h01m14s,120 41.2,-30 41.2,-30°41.2',"extremely faint, considerably large, much extended, very gradually very little brighter middle"
NGC 8,,,00 01 17,00h01m17s,66 59,23 1,23°1',"very faint, nucleus in north end"
NGC 9,,,00 01 27,00h01m27s,67 00,23 00,23°00',"faint, round, 9th or 10th magnitude star to southeast"
NGC 10,,,00 01 28,00h01m28s,124 38.9,-34 38.9,-34°38.9',"faint, considerably large, very little extended, gradually a little brighter middle"
NGC 11,,,00 01 29,00h01m29s,53 19.9,36 40.1,36°40.1',"very faint, very small, very little extended, 2 very faint stars involved"
NGC 12,,,00 01 34,00h01m34s,86 10.2,3 49.8,3°49.8',"extremely faint, pretty large, very gradually a little brighter middle"
NGC 13,,,00 01 35,00h01m35s,57 20.8,32 39.2,32°39.2',"very faint, very small, small star plus nebulosity"
NGC 14,,,00 01 37,00h01m37s,74 57.9,15 2.1,15°2.1',"very faint, pretty small, round, gradually a little brighter middle"
NGC 15,,,00 01 50,00h01m50s,69 10,20 50,20°50',"very faint, very small, round, brighter middle"
NGC 16,,,00 01 52,00h01m52s,63 03.0,26 57,26°57',"pretty bright, small, round, brighter middle"
NGC 17,,,00 01 58,00h01m58s,102 54.0,-12 54,-12°54',"very faint, extremely small, irregularly round, double star 2 arcmin to west"
NGC 18,,,00 02 11,00h02m11s,63 02.8,26 57.2,26°57.2',"faint, very small, irregularly round, much brighter middle, h 4 19s to west"
NGC 19,,,00 02 13,00h02m13s,57 55.6,32 4.4,32°4.4',"most extremely faint, a little extended, 3 very faint stars around"
NGC 20,,,00 02 21,00h02m21s,57 28.2,32 31.8,32°31.8',"faint, 10th magnitude star attached"
NGC 21,,,00 02 25,00h02m25s,57 34.1,32 25.9,32°25.9',"extremely faint, small, a little extended"
NGC 22,,,00 02 36,00h02m36s,62 56.9,27 3.1,27°3.1',"very faint, pretty small, round, a little brighter middle, mottled but not resolved"
NGC 23,,,00 02 41,00h02m41s,64 51.0,25 9,25°9',3 small stars plus nebulosity
NGC 24,,,00 02 47,00h02m47s,115 45.0,-25 45,-25°45',"very faint, considerably large, much extended, gradually brighter middle"
NGC 25,,,00 02 57,00h02m57s,147 48.2,-57 48.2,-57°48.2',"very faint, small, round"
NGC 26,,,00 03 14,00h03m14s,64 56.2,25 3.8,25°3.8',"very faint, pretty large, round, 2 faint stars to north"
NGC 27,,,00 03 15,00h03m15s,61 47.3,28 12.7,28°12.7',"extremely faint, very small, extended, bright star near"
NGC 28,,,00 03 25,00h03m25s,147 46.4,-57 46.4,-57°46.4',"extremely faint, the preceding (western) of 2"
NGC 29,,,00 03 32,00h03m32s,57 25.6,32 34.4,32°34.4',"pretty bright, pretty large, extended 0º"
NGC 30,,,00 03 38,00h03m38s,68 49,21 11,21°11',a 13th magnitude nebulous star
NGC 31,,,00 03 39,00h03m39s,147 46.4,-57 46.4,-57°46.4',"most extremely faint, small, round, following (eastern) of 2"
NGC 32,,,00 03 42,00h03m42s,71 59.0,18 1,18°1',faint (Auwers 1)
NGC 33,,,00 03 45,00h03m45s,87 06,2 54,2°54',"extremely faint, very small, or nebulous star"
NGC 34,,,00 03 53,00h03m53s,102 53.2,-12 53.2,-12°53.2',"pretty faint, small, round, 2 stars near"
NGC 35,,,00 04 03,00h04m03s,102 47.2,-12 47.2,-12°47.2',"most extremely faint, pretty small, round"
NGC 36,,,00 04 11,00h04m11s,84 24.2,5 35.8,5°35.8',"very faint, pretty small, irregular figure"
NGC 37,,,00 04 22,00h04m22s,147 43.8,-57 43.8,-57°43.8',"extremely faint, small, round"
NGC 38,,,00 04 38,00h04m38s,96 22.0,-6 22,-6°22',"faint, small, round, much brighter middle"
NGC 39,,,00 05 04,00h05m04s,59 41.4,30 18.6,30°18.6',"very faint, pretty small, round"
NGC 40,,,00 05 27,00h05m27s,18 15.4,71 44.6,71°44.6',"faint, very small, round, very suddenly much brighter middle, 12th magnitude star to southwest"
NGC 41,,,00 05 33,00h05m33s,68 46,21 14,21°14',"pretty faint, small, a little extended, gradually brighter middle"
NGC 42,,,00 05 42,00h05m42s,68 41,21 19,21°19',"faint, very small, stellar"
NGC 43,,,00 05 46,00h05m46s,59 49.8,30 10.2,30°10.2',"extremely faint, 12th magnitude star 45 arcsec to northwest"
NGC 44,,,00 05 59,00h05m59s,59 29.3,30 30.7,30°30.7',"extremely faint, very small"
NGC 45,,,00 06 48,00h06m48s,113 57.2,-23 57.2,-23°57.2',"extremely faint, large, very gradually a very little brighter middle, large (bright) star in contact following (to the east)"
NGC 46,,,00 06 59,00h06m59s,84 47.5,5 12.5,5°12.5',a nebula (Auwers 2)
NGC 47,,,00 07 22,00h07m22s,97 56.6,-7 56.6,-7°56.6',"very faint, very small"
NGC 48,,,00 07 27,00h07m27s,42 31.8,47 28.2,47°28.2',"most extremely faint, pretty large, round, very difficult"
NGC 49,,,00 07 37,00h07m37s,42 31.3,47 28.7,47°28.7',"most extremely faint, small, round, 2nd of 3"
NGC 50,,,00 07 39,00h07m39s,98 08.8,-8 8.8,-8°8.8',very faint
NGC 51,,,00 07 47,00h07m47s,42 31.6,47 28.4,47°28.4',"pretty faint, pretty small, round, brighter middle"
NGC 52,,,00 07 48,00h07m48s,72 14.3,17 45.7,17°45.7',"very faint, small, extended"
NGC 53,,,00 07 53,00h07m53s,151 06.2,-61 6.2,-61°6.2',"extremely faint, small, round, brighter middle"
NGC 54,,,00 07 58,00h07m58s,97 54.3,-7 54.3,-7°54.3',"very faint, pretty small, round, 5092 to southwest"
NGC 55,,,00 08 00,00h08m00s,129 59.6,-39 59.6,-39°59.6',"very bright, very large, very much extended, triple nucleus"
NGC 56,,,00 08 09,00h08m09s,78 20.0,11 40,11°40',"extremely faint, extremely large, diffuse"
