No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N0001,1,...,...,d'A,00,00,04,,+3.07,63,04.3,,-20.1,"F, S, R, bet *11 and *14",...
N0002,6246,...,...,Ld R*,00,00,06,,+3.07,63,06.0,,-20.1,"vF, S, s of GC 1",...
N0003,5080,...,...,m 1,00,00,06,,+3.07,82,28,,-20.1,"F, vS, R, alm stell",...
N0004,5081,...,...,m 2,00,00,16,,+3.07,82,23,,-20.1,eF,...
N0005,...,...,...,St XII,00,00,37,,+3.08,55,25.0,,-20.1,"vF, vS, N = *13,14",...
N0006,...,...,...,Sw II,00,01,05,,+3.08,58,15.6,,-20.1,"eF, vS, cE",...
N0007,2,4014,...,...,00,01,14,,+3.07,120,41.2,,-20.1,"eF, cL, mE, vgvlbM",...
N0008,5082,...,...,O Struve,00,01,17,,+3.08,66,59,,-20.1,"vF, N in n end",...
N0009,5083,...,...,O Struve,00,01,27,,+3.08,67,00,,-20.1,"F, R, *9,10 sf",...
N0010,3,4015,...,...,00,01,28,,+3.06,124,38.9,,-20.1,"F, cL, vlE, glbM",...
N0011,...,...,...,St XII,00,01,29,,+3.08,53,19.9,,-20.1,"vF, vS, vlE, 2 vF st inv",...
N0012,4,1,III 868,...,00,01,34,,+3.07,86,10.2,,-20.1,"eF, pL, vglbM",...
N0013,5,2,III 866,...,00,01,35,,+3.08,57,20.8,,-20.1,"vF, vS, S st + neb",...
N0014,7,3,II 591,...,00,01,37,,+3.08,74,57.9,,-20.1,"vF, pS, R, glbM",...
N0015,5084,...,...,m 3,00,01,50,,+3.08,69,10,,-20.1,"vF, vS, R, bM",...
N0016,8=12,4=5,IV 15,...,00,01,52,,+3.08,63,03.0,,-20.1,"pB, S, R, bM",*
N0017,...,...,...,Mu II,00,01,58,,+3.07,102,54.0,,-20.1,"vF, eS, iR, D* 2' p",...
N0018,5085,...,...,Schultz,00,02,11,,+3.08,63,02.8,,-20.1,"F, vS, iR, mbM, h 4 p 19sec",*
N0019,...,...,...,Sw II,00,02,13,,+3.08,57,55.6,,-20.1,"eeF, lE, 3 vF st around",...
N0020,6=5086,...,...,"Ld R, Schultz",00,02,21,,+3.09,57,28.2,,-20.1,"F, *10 at[t]",...
